numero,jogador,selecao
1,Ronwen Williams,África do Sul
2,Ricardo Goss,África do Sul
3,Sipho Chaine,África do Sul
4,Khuliso Mudau,África do Sul
5,Nkosinathi Sibisi,África do Sul
6,Ime Okon,África do Sul
7,Khulumani Ndamane,África do Sul
8,Aubrey Modiba,África do Sul
9,Samukelo Kabini,África do Sul
10,Thabang Matuludi,África do Sul
11,Olwethu Makhanya,África do Sul
12,Kamogelo Sebelebele,África do Sul
13,Bradley Cross,África do Sul
14,Mbekezeli Mbokazi,África do Sul
15,Teboho Mokoena,África do Sul
16,Thalente Mbatha,África do Sul
17,Sphephelo Sithole,África do Sul
18,Jayden Adams,África do Sul
19,Oswin Appollis,África do Sul
20,Iqraam Rayners,África do Sul
21,Tshepang Moremi,África do Sul
22,Relebohile Mofokeng,África do Sul
23,Evidence Makgopa,África do Sul
24,Themba Zwane,África do Sul
25,Lyle Foster,África do Sul
26,Thapelo Maseko,África do Sul
1,Oliver Baumann,Alemanha
2,Manuel Neuer,Alemanha
3,Alexander Nubel,Alemanha
4,Waldemar Anton,Alemanha
5,Nathaniel Brown,Alemanha
6,Pascal Gross,Alemanha
7,Joshua Kimmich,Alemanha
8,Felix Nmecha,Alemanha
9,Aleksandar Pavlovic,Alemanha
10,David Raum,Alemanha
11,Antonio Rudiger,Alemanha
12,Nico Schlotterbeck,Alemanha
13,Angelo Stiller,Alemanha
14,Jonathan Tah,Alemanha
15,Malick Thiaw,Alemanha
16,Assan Ouédraogo,Alemanha
17,Nadiem Amiri,Alemanha
18,Maximilian Beier,Alemanha
19,Leon Goretzka,Alemanha
20,Kai Havertz,Alemanha
21,Jamie Leweling,Alemanha
22,Jamal Musiala,Alemanha
23,Leroy Sané,Alemanha
24,Deniz Undav,Alemanha
25,Florian Wirtz,Alemanha
26,Nick Woltemade,Alemanha
1,Ahmed Al Kassar,Arábia Saudita
2,Mohammed Al Owais,Arábia Saudita
3,Nawaf Al Aqidi,Arábia Saudita
4,Saud Abdulhamid,Arábia Saudita
5,Mohammed Abu Al Shamat,Arábia Saudita
6,Khalid Al Ghannam,Arábia Saudita
7,Moteb Al Harbi,Arábia Saudita
8,Abdulelah Al Amri,Arábia Saudita
9,Nawaf Boushal,Arábia Saudita
10,Hassan Kadesh,Arábia Saudita
11,Ali Lajami,Arábia Saudita
12,Ali Majrashi,Arábia Saudita
13,Hassan Tambakti,Arábia Saudita
14,Jehad Thikri,Arábia Saudita
15,Nasser Al Dawsari,Arábia Saudita
16,Alaa Al Hajji,Arábia Saudita
17,Ziyad Al Johani,Arábia Saudita
18,Musab Al Juwayr,Arábia Saudita
